w_x,w_y,w_z,a_x,a_y,a_z,m_x,m_y,m_z,h,T,q0,q1,q2,q3,Vn,Ve,Vd,Pn,Pe,Pd
-7.332612751800000883e-02,4.897146636399999503e-02,-1.180106935000000030e-02,-2.603886702400000086e-01,5.479366766000000055e-01,-9.468633163999999880e+00,2.393398544444444165e-01,-9.739832222222220837e-02,3.815923244444444640e-01,4.264854742857142611e+01,2.535000000000000497e+01,9.808774599999999788e-01,-3.697681399999999674e-02,-2.845744600000000082e-02,1.889505499999999949e-01,-6.357163000000000397e-02,4.780617000000000200e-02,-2.670580100000000012e+00,2.536425599999999836e+00,2.970060600000000051e+00,-1.279507800000000017e+01
-1.006838135961538455e-01,6.115216461346154736e-02,6.693662830384615459e-02,-9.582648276923079467e-02,4.519357523076923400e-01,-8.562004746153844437e+00,2.376502030000000598e-01,-1.057558599999999932e-01,3.801860870000000614e-01,4.307207371428570752e+01,2.536571328571428907e+01,9.805811599999999517e-01,-4.057219000000000103e-02,-2.723363000000000173e-02,1.899286000000000030e-01,-3.435988000000000236e-02,7.088468399999999815e-03,-2.515194000000000152e+00,2.517788400000000149e+00,2.974381699999999906e+00,-1.327149700000000010e+01
1.280096331880000160e-01,-6.907502131000001037e-03,-5.263538065400000243e-02,-1.265495258799999856e-01,4.492619581199999712e-01,-9.101336456000000297e+00,2.386772477777777679e-01,-9.707312777777776791e-02,3.815923244444444640e-01,4.372359421428571835e+01,2.537714257142857122e+01,9.795015999999999723e-01,-3.933090300000000039e-02,-2.678501000000000146e-02,1.957353799999999866e-01,1.384095599999999975e-02,-2.924337399999999906e-02,-2.242427600000000076e+00,2.503237700000000121e+00,2.983807000000000098e+00,-1.367111700000000063e+01
-5.759749173999999250e-02,1.455249638179999805e-01,-8.426953733999999197e-02,-2.593089463000000094e-01,4.316953808000000281e-01,-9.689534916000001274e+00,2.360268100000000036e-01,-8.861802222222221748e-02,3.863941033333333497e-01,4.414712042857143359e+01,2.539285714285713524e+01,9.811944000000000221e-01,-2.739545100000000122e-02,-2.357029000000000069e-02,1.896090199999999892e-01,5.149141000000000135e-02,-3.342984999999999707e-02,-2.121147399999999905e+00,2.503454200000000185e+00,2.974549800000000133e+00,-1.407349600000000045e+01
-1.017451091979591909e-01,-6.915791777551019703e-02,6.343567479591835472e-03,-3.861092822448980444e-01,6.948541900285714057e-01,-9.516420175510205581e+00,2.356955077777777574e-01,-9.089440000000000019e-02,3.863941055555555892e-01,4.462327250000000589e+01,2.539999999999999503e+01,9.825576499999999491e-01,-3.184458600000000111e-02,-1.466666500000000060e-02,1.826236499999999985e-01,1.864834500000000020e-02,-3.872773799999999766e-02,-2.096769000000000105e+00,2.498104999999999798e+00,2.975514399999999782e+00,-1.446584600000000087e+01
-8.977425469215688514e-02,-1.594322405058823736e-02,7.272608366666666324e-02,-3.380692650980391956e-01,6.202741478431372801e-01,-9.148999266666669072e+00,2.413276799999999889e-01,-9.512194888888887701e-02,3.826212766666666765e-01,4.501050419999999264e+01,2.540800000000000836e+01,9.816869000000000289e-01,-3.345203800000000338e-02,-2.647748800000000041e-02,1.856633299999999875e-01,-1.670600300000000052e-02,-3.704386999999999958e-02,-2.022768999999999817e+00,2.473390600000000106e+00,2.972584499999999963e+00,-1.486279900000000076e+01
-1.911297721200000063e-02,6.332342098799998917e-03,5.546847515199998524e-02,-1.990335344799999684e-01,6.187106752200000059e-01,-9.146106908000000146e+00,2.415264619999999973e-01,-1.010730329999999927e-01,3.786426660000000721e-01,4.541392364285714223e+01,2.542000000000000881e+01,9.798983300000000396e-01,-3.825107600000000191e-02,-3.058397399999999988e-02,1.933933599999999864e-01,-1.715476000000000154e-02,-2.989385799999999885e-02,-1.860497400000000079e+00,2.452032800000000012e+00,2.974626499999999840e+00,-1.522325700000000026e+01
-4.143104972692308180e-02,5.850477480769230437e-02,1.882441983973076952e-02,-2.874960668653845919e-01,5.435810562692307002e-01,-9.365644659615384171e+00,2.400024644444444244e-01,-1.022762577777777682e-01,3.771335422222222289e-01,4.592728885714285525e+01,2.543214257142857448e+01,9.788919000000000370e-01,-3.640274699999999919e-02,-2.973192200000000091e-02,1.989007399999999925e-01,1.818657099999999860e-02,-1.663095699999999830e-02,-1.725237499999999979e+00,2.425595799999999969e+00,2.985068000000000055e+00,-1.558288699999999949e+01
-2.211704186999999960e-02,1.976387029999999989e-02,-2.459178337699999967e-02,-2.087006144499999882e-01,5.718207262600000229e-01,-9.370424200000000425e+00,2.397374219999999778e-01,-1.016583869999999890e-01,3.804947720000000366e-01,4.637516192857142272e+01,2.543999900000000025e+01,9.785923399999999495e-01,-3.802732000000000334e-02,-2.913377600000000012e-02,2.001558200000000121e-01,2.612588000000000063e-02,-3.882917000000000313e-02,-1.630651400000000084e+00,2.415306300000000128e+00,2.983825700000000136e+00,-1.592355300000000007e+01
-1.213175681600000000e-01,3.924936880400000522e-02,-2.657423571599999701e-02,-2.832353363999999818e-01,7.694860322400000063e-01,-9.263848491999999268e+00,2.413276788888888691e-01,-1.022762577777777682e-01,3.798774088888888789e-01,4.675150342857142505e+01,2.544785614285714104e+01,9.792121000000000297e-01,-3.650528599999999790e-02,-2.818883999999999973e-02,1.975258699999999923e-01,5.796175499999999675e-02,-3.365503300000000086e-02,-1.568170300000000017e+00,2.408825000000000216e+00,2.991978000000000026e+00,-1.624517300000000120e+01
