timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
90657016,-92.58159,26.769999,102441.99,1.2171804
90668525,-92.41777,26.769999,102440.0,1.2171566
90677967,-92.3385,26.769999,102439.0,1.2171447
90699820,-92.666145,26.769999,102442.99,1.2171922
90711736,-92.58159,26.769999,102441.99,1.2171804
90723394,-92.666145,26.769999,102442.99,1.2171922
90745046,-92.666145,26.779999,102442.99,1.2171922
90756509,-92.58159,26.779999,102441.99,1.2171804
90765993,-92.91453,26.779999,102446.0,1.2172279
90788244,-92.91453,26.779999,102446.0,1.2172279
90799848,-93.1629,26.779999,102449.0,1.2172636
90811406,-92.50232,26.779999,102441.0,1.2171686
90834037,-92.82997,26.779999,102444.99,1.217216
90844857,-92.91453,26.779999,102446.0,1.2172279
90856007,-92.666145,26.779999,102442.99,1.2171922
90878998,-92.58159,26.779999,102441.99,1.2171804
90889642,-92.253944,26.779999,102438.0,1.2171329
90900725,-92.50232,26.779999,102441.0,1.2171686
90922812,-92.58159,26.779999,102441.99,1.2171804
90934500,-92.82997,26.779999,102444.99,1.217216
90945015,-92.58159,26.779999,102441.99,1.2171804
90966997,-92.16939,26.779999,102437.0,1.217121
90979022,-92.58159,26.779999,102441.99,1.2171804
90989017,-92.09012,26.779999,102436.0,1.2171091
91011528,-92.50232,26.779999,102441.0,1.2171686
91022500,-92.253944,26.779999,102438.0,1.2171329
91033030,-92.00557,26.779999,102435.0,1.2170973
91055030,-92.16939,26.779999,102437.0,1.217121
91066953,-92.00557,26.779999,102435.0,1.2170973
91077014,-92.00557,26.779999,102435.0,1.2170973
91099083,-91.9263,26.779999,102434.0,1.2170854
91110502,-91.75719,26.779999,102431.99,1.2170615
91121016,-91.9263,26.779999,102434.0,1.2170854
91143001,-91.42954,26.779999,102428.0,1.2170141
91154979,-91.75719,26.779999,102431.99,1.2170615
91165014,-91.75719,26.779999,102431.99,1.2170615
91187215,-92.00557,26.779999,102435.0,1.2170973
91198606,-91.59336,26.779999,102429.99,1.2170378
91209014,-91.84174,26.779999,102432.99,1.2170734
91230997,-91.75719,26.789999,102431.99,1.2170615
91242956,-91.344986,26.789999,102427.0,1.2170022
91253007,-91.59336,26.789999,102429.99,1.2170378
91275230,-91.67792,26.789999,102430.99,1.2170496
91286501,-91.75719,26.789999,102431.99,1.2170615
91297008,-91.42954,26.789999,102428.0,1.2170141
91318891,-91.75719,26.789999,102431.99,1.2170615
91329841,-91.84174,26.789999,102432.99,1.2170734
91340857,-91.84174,26.789999,102432.99,1.2170734
91363232,-92.09012,26.789999,102436.0,1.2171091
91375241,-91.42954,26.789999,102428.0,1.2170141
91386848,-91.42954,26.789999,102428.0,1.2170141
91409107,-91.18116,26.789999,102425.0,1.2169784
91419843,-91.26572,26.789999,102426.0,1.2169904
91430885,-91.26572,26.789999,102426.0,1.2169904
91452015,-91.59336,26.789999,102429.99,1.2170378
91464001,-91.344986,26.789999,102427.0,1.2170022
91475213,-91.67792,26.789999,102430.99,1.2170496
91498921,-91.75719,26.789999,102431.99,1.2170615
91510499,-91.09661,26.789999,102424.0,1.2169665
91521021,-91.59336,26.789999,102429.99,1.2170378
91543001,-91.26572,26.789999,102426.0,1.2169904
91554905,-91.42954,26.789999,102428.0,1.2170141
91565024,-91.42954,26.789999,102428.0,1.2170141
91587098,-91.18116,26.789999,102425.0,1.2169784
91598500,-91.75719,26.789999,102431.99,1.2170615
91609018,-91.50881,26.789999,102428.99,1.2170259
91631033,-91.18116,26.789999,102425.0,1.2169784
91642893,-91.01734,26.789999,102423.0,1.2169547
91653029,-90.932785,26.789999,102422.0,1.2169428
91675230,-91.59336,26.789999,102429.99,1.2170378
91686500,-91.26572,26.789999,102426.0,1.2169904
91697018,-91.42954,26.789999,102428.0,1.2170141
91719002,-91.42954,26.789999,102428.0,1.2170141
91730899,-91.26572,26.789999,102426.0,1.2169904
91741019,-91.344986,26.789999,102427.0,1.2170022
91763231,-91.18116,26.789999,102425.0,1.2169784
91774566,-91.01734,26.789999,102423.0,1.2169547
91784999,-91.18116,26.789999,102425.0,1.2169784
91806998,-91.09661,26.789999,102424.0,1.2169665
91818949,-90.76896,26.789999,102419.99,1.216919
91829000,-90.76896,26.789999,102419.99,1.216919
91851229,-90.520584,26.789999,102416.99,1.2168833
