timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,n_states,pre_flt_fail,health_flags,timeout_flags
294660533,-0.3126437,-0.04113118,0.09780182,-0.94392633,-3.8668718,3.0402389,-0.26683342,81.27368,53.63947,-34.603607,1.1122816e-05,-6.722925e-06,2.5810511e-06,0.0015788093,-0.0001844605,-0.0010208468,0.24225645,0.051870674,0.38934177,-0.0010956401,-0.009657394,-0.0017207693,0.0,0.0,2.0035495e-07,0.00084141927,0.03312715,2.9184695e-05,6.2064432e-06,5.800198e-06,3.2703465e-06,0.013296266,0.013338064,0.010662544,0.054889467,0.05491819,0.056057133,1.2666713e-11,1.2252982e-11,1.7384483e-11,5e-08,5e-08,5.000001e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.33137238,0.23676388,0.014868297,0.0587549,0.02934108,0.030892784,0.0,0.0,0.0,-0.007021,0,0,0,831,24,0,0,0
294868525,-0.3136806,-0.038663656,0.10160425,-0.94328487,-3.82897,3.051223,-0.38009515,80.46466,54.25621,-34.613472,1.1048866e-05,-6.7990422e-06,2.5842064e-06,0.0015793855,-0.00018227015,-0.0010471031,0.24225645,0.051870674,0.38934177,-0.0010956401,-0.009657394,-0.0017207693,0.0,0.0,2.1462668e-07,0.0007884218,0.03371748,2.9198474e-05,6.252735e-06,5.816938e-06,3.3038232e-06,0.013390969,0.013429973,0.01059806,0.05504106,0.05507181,0.05535884,1.2629373e-11,1.2223343e-11,1.7397648e-11,5e-08,5e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.3318326,0.2352846,0.0007193149,0.05124905,0.036570754,0.040345933,0.0,0.0,0.0,-0.007029,0,0,0,831,24,0,0,0
295070924,-0.31467625,-0.03828819,0.098924175,-0.94325334,-3.855212,3.1005876,-0.3120829,79.69758,54.852306,-34.640755,1.0968992e-05,-6.873185e-06,2.5848785e-06,0.0015802874,-0.00018064701,-0.0010650568,0.24225645,0.051870674,0.38934177,-0.0010956401,-0.009657394,-0.0017207693,0.0,0.0,2.6357654e-07,0.00090667437,0.03328693,2.9234208e-05,6.245287e-06,5.8377123e-06,3.327016e-06,0.01329443,0.01333293,0.010669585,0.054943647,0.054975323,0.055932764,1.2587608e-11,1.2189886e-11,1.7406783e-11,5.0000036e-08,5.0000036e-08,5.0000036e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.3315403,0.23650108,0.0039188135,0.046305005,0.041278172,0.030602345,0.0,0.0,0.0,-0.007029,0,0,0,831,24,0,0,0
295270945,-0.31586528,-0.04389095,0.09816853,-0.94269073,-3.8127463,3.131392,-0.31477812,78.907776,55.46762,-34.66558,1.08731765e-05,-6.886784e-06,2.6068394e-06,0.0015812087,-0.00017957835,-0.0010854522,0.24225645,0.051870674,0.38934177,-0.0010956401,-0.009657394,-0.0017207693,0.0,0.0,2.1313035e-07,0.00085351005,0.0313518,2.9242407e-05,6.249827e-06,5.874302e-06,3.3568822e-06,0.013294975,0.013328226,0.010735304,0.05501316,0.055045657,0.05654881,1.2556843e-11,1.2167239e-11,1.7426003e-11,5.0000036e-08,5.0000036e-08,5.0000036e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.33175114,0.23779994,0.013071352,0.047481805,0.04049515,0.091101445,0.0,0.0,0.0,-0.007008,0,0,0,831,24,0,0,0
295470919,-0.31784883,-0.042740673,0.09723497,-0.9421735,-3.7725682,3.107717,-0.38455865,78.136314,56.07264,-34.67438,1.0774604e-05,-6.959152e-06,2.6124544e-06,0.0015818566,-0.00017735525,-0.0011119449,0.24225645,0.051870674,0.38934177,-0.0010956401,-0.009657394,-0.0017207693,0.0,0.0,1.9758288e-07,0.0008447144,0.03627457,2.9246554e-05,6.2526674e-06,5.8888827e-06,3.402702e-06,0.013319726,0.013353815,0.0106970845,0.055029746,0.055062465,0.05624046,1.251564e-11,1.2134247e-11,1.7434797e-11,5e-08,5e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.33180144,0.23715071,0.005108801,0.05529359,0.04518506,0.03424385,0.0,0.0,0.0,-0.007036,0,0,0,831,24,0,0,0
295679042,-0.31953844,-0.045123868,0.09823177,-0.941387,-3.7956078,3.1008909,-0.23843892,77.3532,56.692093,-34.685913,1.0700411e-05,-7.0117358e-06,2.6260827e-06,0.0015822201,-0.00017553459,-0.0011344372,0.24225645,0.051870674,0.38934177,-0.0010956401,-0.009657394,-0.0017207693,0.0,0.0,1.922206e-07,0.0008702208,0.03827482,2.9252715e-05,6.273827e-06,5.91944e-06,3.44715e-06,0.013230152,0.0132712,0.010783193,0.05537998,0.05541342,0.05701836,1.2479532e-11,1.2106309e-11,1.7447389e-11,5.000007e-08,5.000007e-08,5.000007e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.33285642,0.23878518,0.012307721,0.03685571,0.042577352,0.06268192,0.0,0.0,0.0,-0.006911,0,0,0,831,24,0,0,0
295878119,-0.32158634,-0.041886978,0.099466614,-0.9407095,-3.847557,3.0565488,-0.26327106,76.59826,57.285316,-34.682625,1.0656251e-05,-7.0561055e-06,2.6435912e-06,0.0015821425,-0.0001738209,-0.0011554522,0.24225645,0.051870674,0.38934177,-0.0010956401,-0.009657394,-0.0017207693,0.0,0.0,1.8873006e-07,0.00082854956,0.038517863,2.9245854e-05,6.291475e-06,5.9251083e-06,3.4962081e-06,0.013196322,0.013248629,0.010731766,0.055416696,0.055450544,0.056643657,1.2439655e-11,1.2075026e-11,1.7455388e-11,5e-08,5e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.3329673,0.23799928,0.016909162,0.021955414,0.037400115,0.035075366,0.0,0.0,0.0,-0.007036,0,0,0,831,24,0,0,0
296086148,-0.3231813,-0.039433893,0.10418401,-0.93975776,-3.8302703,3.0615032,-0.22957759,75.80727,57.90565,-34.69593,1.0648157e-05,-7.0701626e-06,2.633704e-06,0.0015818907,-0.00017309081,-0.0011692095,0.24225645,0.051870674,0.38934177,-0.0010956401,-0.009657394,-0.0017207693,0.0,0.0,1.8730714e-07,0.00084110204,0.03796379,2.9237808e-05,6.3382327e-06,5.9361537e-06,3.543559e-06,0.013185011,0.01323937,0.010721301,0.055738837,0.055774253,0.056559432,1.2403107e-11,1.2047257e-11,1.7465616e-11,5e-08,5e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.33393577,0.23782226,0.003023549,0.009747667,0.033836298,0.044399377,0.0,0.0,0.0,-0.007005,0,0,0,831,24,0,0,0
296285315,-0.3233918,-0.039581172,0.10306919,-0.93980205,-3.7906454,3.0728574,-0.26429972,75.05776,58.496387,-34.68306,1.0646098e-05,-7.1461177e-06,2.6372832e-06,0.0015810451,-0.0001709663,-0.0011903221,0.24225645,0.051870674,0.38934177,-0.0010956401,-0.009657394,-0.0017207693,0.0,0.0,2.3165096e-07,0.0009480094,0.038134553,2.9275387e-05,6.3353928e-06,5.9514637e-06,3.5514397e-06,0.013160248,0.013212759,0.010680462,0.055758357,0.05579491,0.056241743,1.23628885e-11,1.2015646e-11,1.7472909e-11,5e-08,5e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.3339959,0.23715341,0.00061362813,0.032842565,0.038529325,0.026601607,0.0,0.0,0.0,-0.007039,0,0,0,831,24,0,0,0
296493349,-0.32273865,-0.042206027,0.101613894,-0.94007087,-3.8342159,3.1044319,-0.26337284,74.25885,59.127476,-34.70973,1.06049065e-05,-7.099704e-06,2.6578973e-06,0.0015816856,-0.00017104115,-0.0012002122,0.24225645,0.051870674,0.38934177,-0.0010956401,-0.009657394,-0.0017207693,0.0,0.0,2.2126682e-07,0.0009083399,0.035217606,2.9300849e-05,6.335194e-06,5.979777e-06,3.5376413e-06,0.013175837,0.013232334,0.010685057,0.056113746,0.05615172,0.056236137,1.23252155e-11,1.1986968e-11,1.7472251e-11,5e-08,5e-08,5.0000015e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.3350604,0.2371416,0.0042956974,0.042559065,0.032766953,0.033328485,0.0,0.0,0.0,-0.007004,0,0,0,831,24,0,0,0
296692525,-0.32143968,-0.042747185,0.102711074,-0.94037217,-3.855539,3.1129706,-0.24046819,73.467636,59.760216,-34.756496,1.06151765e-05,-7.148234e-06,2.6686496e-06,0.0015811892,-0.00017045221,-0.0012019721,0.24225645,0.051870674,0.38934177,-0.0010956401,-0.009657394,-0.0017207693,0.0,0.0,2.2837031e-07,0.0009157905,0.03532498,2.9354573e-05,6.3465404e-06,5.9929453e-06,3.5155772e-06,0.01318132,0.013242139,0.010659882,0.056256235,0.05629542,0.056006912,1.22867974e-11,1.1957387e-11,1.747895e-11,5e-08,5e-08,5.0000015e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.3354872,0.2366578,0.0039505484,0.034644756,0.028038425,0.008769313,0.0,0.0,0.0,-0.00703,0,0,0,831,24,0,0,0
