timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
1235388445,0.29291752,0.0053600874,0.3258254
1235412453,0.29291752,0.008350077,0.3258254
1235434454,0.28992322,0.0053600874,0.3258254
1235456454,0.28992322,0.008350077,0.3258254
1235480451,0.28992322,0.011340066,0.3258254
1235504455,0.28992322,0.011340066,0.3288769
1235528444,0.29291752,0.011340066,0.3319284
1235552445,0.28992322,0.011340066,0.3288769
1235576445,0.28692892,0.011340066,0.31972238
1235598448,0.29291752,0.011340066,0.3258254
1235620445,0.28692892,0.011340066,0.3258254
1235644452,0.29291752,0.011340066,0.3258254
1235668452,0.29291752,0.011340066,0.3319284
1235691451,0.29291752,0.011340066,0.31972238
1235715179,0.28992322,0.008350077,0.3227739
1235739231,0.29291752,0.011340066,0.3258254
1235763217,0.28692892,0.011340066,0.3258254
1235787297,0.28992322,0.008350077,0.3258254
1235811312,0.29291752,0.011340066,0.33497995
1235835282,0.29291752,0.011340066,0.3227739
1235859343,0.28692892,0.011340066,0.3288769
1235880444,0.29291752,0.011340066,0.3227739
1235903466,0.28992322,0.011340066,0.3258254
1235927472,0.28692892,0.011340066,0.3258254
1235948445,0.29291752,0.011340066,0.33497995
1235971307,0.28692892,0.011340066,0.3319284
1235995185,0.28692892,0.011340066,0.3227739
1236019231,0.28692892,0.011340066,0.3288769
1236043178,0.28692892,0.011340066,0.3319284
1236064500,0.28393456,0.011340066,0.3288769
1236087447,0.28393456,0.011340066,0.3288769
1236111316,0.28692892,0.011340066,0.3288769
1236135455,0.28692892,0.011340066,0.3288769
1236157558,0.28692892,0.014330056,0.33497995
1236180444,0.28692892,0.014330056,0.3288769
1236203203,0.28992322,0.014330056,0.3319284
1236225477,0.28692892,0.014330056,0.3319284
1236248444,0.28692892,0.014330056,0.3319284
1236269489,0.28692892,0.011340066,0.3319284
1236292494,0.28692892,0.014330056,0.3258254
1236315976,0.28992322,0.014330056,0.3288769
1236339992,0.28992322,0.014330056,0.3288769
1236364019,0.28692892,0.014330056,0.3288769
1236388025,0.28992322,0.014330056,0.3288769
1236412026,0.28992322,0.014330056,0.3288769
1236436014,0.28692892,0.014330056,0.3288769
1236457488,0.28992322,0.014330056,0.3227739
1236478453,0.28692892,0.014330056,0.3288769
1236501486,0.28692892,0.014330056,0.3227739
1236524017,0.28992322,0.017320044,0.3227739
1236548048,0.28692892,0.017320044,0.3258254
1236572123,0.28992322,0.014330056,0.3319284
1236596228,0.29291752,0.014330056,0.3319284
1236620097,0.28692892,0.017320044,0.3288769
1236643964,0.28692892,0.017320044,0.3258254
1236665453,0.28692892,0.014330056,0.3288769
1236686454,0.28692892,0.014330056,0.3319284
1236709446,0.28692892,0.014330056,0.3319284
1236732122,0.28992322,0.014330056,0.3319284
1236756060,0.28692892,0.014330056,0.3288769
1236780140,0.28094026,0.014330056,0.33497995
