timestamp,timestamp_sample,control_mode_flags,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
10674508,10543455,7046432257,4.4145563e-05,0.0015519462,0.0047830665,0,0.013505591,0.11839527,nan,nan,nan,0.019526843,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
10876894,10763453,7046432257,9.0383575e-05,0.0022485408,0.006941441,0,0.009856727,0.11797496,nan,nan,nan,0.020170245,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
11072391,10939452,7046432257,3.773928e-05,0.0016212392,0.0048865336,0,0.01395101,0.12048041,nan,nan,nan,0.020634636,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
11269420,11141451,7046432257,2.8234717e-05,0.0019193593,0.006115046,0,0.013308566,0.12103442,nan,nan,nan,0.019814176,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
11476360,11346456,7046432257,2.7723932e-05,0.0016851113,0.005454168,0,0.013036803,0.12157258,nan,nan,nan,0.020455416,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
11668580,11537451,7046432257,3.0561176e-05,0.0017802478,0.0057111615,0,0.012695458,0.121817544,nan,nan,nan,0.021172818,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
11876651,11745451,7046432257,3.426695e-05,0.0016239294,0.005130217,0,0.012695576,0.12232207,nan,nan,nan,0.019566502,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
12068366,11937451,7046432257,4.1479405e-05,0.00033810415,0.001042418,0,0.012500666,0.12332913,nan,nan,nan,0.02058957,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
12276337,12145451,7046432257,4.3977663e-05,0.0005079739,0.00060106494,0,0.012528886,0.12382542,nan,nan,nan,0.020498678,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
12467367,12341453,7046432257,4.74571e-05,0.000534406,0.00069131394,0,0.012291701,0.12401758,nan,nan,nan,0.020873897,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
12675385,12544451,7046432257,4.4412933e-05,0.00051222916,0.00075897557,0,0.012284994,0.12446456,nan,nan,nan,0.021962252,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
12874379,12739454,7046432257,4.123958e-05,0.0005065205,0.00073440885,0,0.012027932,0.12460699,nan,nan,nan,0.021198442,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
13070318,12946450,7046432257,3.518795e-05,0.00064439105,0.0007126165,0,0.012032311,0.12503108,nan,nan,nan,0.021320285,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
13280484,13147452,7046432257,3.1445954e-05,0.0006865589,0.0007600301,0,0.012015301,0.12542436,nan,nan,nan,0.021316871,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
13472384,13341451,7046432257,2.9917357e-05,0.00077964645,0.00085748173,0,0.011756099,0.12549208,nan,nan,nan,0.021621626,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
13666508,13535452,7046432257,3.5424615e-05,0.00094531645,0.0010539028,0,0.011510456,0.12554438,nan,nan,nan,0.02187472,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
13874414,13743452,7046432257,3.832226e-05,0.0010603173,0.0010708201,0,0.011506053,0.12586948,nan,nan,nan,0.021508625,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
14077509,13960451,7046432257,4.2241707e-05,0.001063761,0.0030143918,0,0.011744993,0.12471366,nan,nan,nan,0.020491837,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
14278438,14152451,7046432257,3.8452254e-05,0.0010223426,0.001048011,0,0.011570932,0.12671672,nan,nan,nan,0.021473465,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
14476391,14342451,7046432257,3.7592625e-05,0.00086055143,0.001070014,0,0.011243366,0.12662657,nan,nan,nan,0.021248072,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
14674512,14545451,7046432257,4.0879248e-05,0.0008212362,0.00084278843,0,0.011209307,0.12681985,nan,nan,nan,0.022288347,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
14866890,14735452,7046432257,4.3771768e-05,0.00078948063,0.0009923313,0,0.0109668905,0.12669936,nan,nan,nan,0.021873042,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
15066426,14943452,7046432257,4.8300728e-05,0.0008368156,0.0007224468,0,0.010852808,0.12685803,nan,nan,nan,0.022726413,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
15274310,15143452,7046432257,5.2499003e-05,0.00089502503,0.000737188,0,0.0107894195,0.12699926,nan,nan,nan,0.021779394,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
15472413,15341451,7046432257,5.3246968e-05,0.0008922662,0.0007349717,0,0.01055069,0.12686346,nan,nan,nan,0.021438295,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
15666479,15534452,7046432257,5.0652892e-05,0.00078622333,0.0007956697,0,0.010338696,0.12672663,nan,nan,nan,0.022137333,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
15877429,15741487,6979323393,1.6681428e-05,0.0012809834,0.0032118345,0,0.0142879095,0.12768547,nan,nan,nan,0.021776356,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
16077373,15951452,6979323393,1.29409e-06,0.001874137,0.0049545714,0,0.01931958,0.12868516,nan,nan,nan,0.022440512,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
16280381,16150451,6979323393,1.8529198e-06,0.0020921845,0.0050884024,0,0.02529632,0.12970862,nan,nan,nan,0.023105841,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
16473660,16342451,6979323393,1.740002e-06,0.0022517934,0.0044241245,0,0.03167198,0.13041599,nan,nan,nan,0.022550445,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
16665413,16534455,6979323393,1.738781e-06,0.0025132964,0.004092773,0,0.038857173,0.13112096,nan,nan,nan,0.024731815,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
16865405,16733451,6979323393,6.6097077e-06,0.003912396,0.00431355,0,0.04682378,0.13183868,nan,nan,nan,0.01873845,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
17069329,16936452,6979323393,1.691051e-05,0.004324102,0.005738271,0,0.056286465,0.13289182,nan,nan,nan,0.015812282,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
17277520,17146451,6979323393,3.4218905e-05,0.0029058373,0.0069710636,0,0.06660292,0.13392709,nan,nan,nan,0.012933717,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
17480552,17352452,6979323393,6.350523e-05,0.002783498,0.008204639,0,0.07773239,0.13496676,nan,nan,nan,0.010900736,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
17674416,17547453,6979323393,0.00011126922,0.0027973484,0.009215457,0,0.088670135,0.13565087,nan,nan,nan,0.010357566,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
